"","Season","Game ID","Game Date","Home Team","Away Team","Event Type","Event Team","X Coord","Y Coord","Event Angle","Event Distance","X Coord 2","Y Coord 2","X Coord 1","Y Coord 1"
"35","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BUF",-47.5596,22.1425,28.116552,46.98507272,-47.5596,22.1425,47.5596,-22.1425
"36","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",62.3502,20.825,38.00519868,33.82147934,62.3502,20.825,62.3502,20.825
"37","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",59.4594,-18.6915,32.3231471,34.9573915,59.4594,-18.6915,59.4594,-18.6915
"38","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",65.1024,-18.564,37.84057561,30.26082256,65.1024,-18.564,65.1024,-18.564
"39","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",42.4908,23.902,27.19953021,52.29159864,42.4908,23.902,42.4908,23.902
"40","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BUF",-54.0936,-17.629,26.79543399,39.1054779,-54.0936,-17.629,54.0936,17.629
"41","2016-17",15083513,"10/7/2016","BUF","BOS","Goal","BUF",-74.2896,8.67,30.51420204,17.07526773,-74.2896,8.67,74.2896,-8.67
"42","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",56.628,-20.8165,32.74265036,38.48731033,56.628,-20.8165,56.628,-20.8165
"43","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",51.777,-22.236,30.8529375,43.35886789,51.777,-22.236,51.777,-22.236
"44","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",86.526,-5.9415,67.39348864,6.436000175,86.526,-5.9415,86.526,-5.9415
"45","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",77.2398,2.3375,11.2418019,11.99025481,77.2398,2.3375,77.2398,2.3375
"46","2016-17",15083513,"10/7/2016","BUF","BOS","Shot","BOS",42.4908,-22.5845,25.90084324,51.70266265,42.4908,-22.5845,42.4908,-22.5845
